Standard ID,Grade,Strand,Content Cluster,Standard Text
L2.AP.PD.01,HS (L2),Algorithms and Programming,Program Development,Compare multiple programming languages and discuss features that make them useful for solving problems and developing systems. 
L2.AP.PD.02,HS (L2),Algorithms and Programming,Program Development,"Using the software life cycle process, create software that will provide solutions for a variety of users."
L2.AP.PD.03,HS (L2),Algorithms and Programming,Program Development,"Design software in a project team environment using Agile Development methods (e.g., versioning and collaboration systems)."
L2.AP.PD.04,HS (L2),Algorithms and Programming,Program Development,Explain security issues that might lead to compromised computer programs.
L2.AP.PD.05,HS (L2),Algorithms and Programming,Program Development,Develop programs for multiple computing platforms. 
L2.AP.PD.06,HS (L2),Algorithms and Programming,Program Development,Develop and use a series of test cases to verify that a program performs according to its design specifications.
L2.AP.PD.07,HS (L2),Algorithms and Programming,Program Development,"Through peer review systematically check code for correctness, usability, readability, efficiency, portability, and scalability (e.g. code review)."
L2.AP.PD.08,HS (L2),Algorithms and Programming,Program Development,Modify an existing program to add additional functionality and discuss intended and unintended implications with appropriate attribution.
L2.CGEI.CC.01,HS (L2),"Community, Global and Ethical Impacts",Culture,"Evaluate the impact of equity, access, and influence on the distribution of computing resources in a global society."
L2.CGEI.CC.02,HS (L2),"Community, Global and Ethical Impacts",Culture,"Based on research, evaluate how computing has revolutionized an aspect of our culture and predict how it might evolve (e.g., education, healthcare, art/entertainment, and energy)."
L2.CGEI.SLE.01,HS (L2),"Community, Global and Ethical Impacts","Safety, Law and Ethics",Debate laws and regulations that impact the development and use of software.
L2.CGEI.SLE.02,HS (L2),"Community, Global and Ethical Impacts","Safety, Law and Ethics","Identify the ethical and moral implications encountered in managing and curating knowledge (e.g., harvesting; information overload; knowledge management; reposting; sharing; summarizing)."
L2.CG.EI.SLE.03,HS (L2),"Community, Global and Ethical Impacts","Safety, Law and Ethics","Explain how cutting‐edge technology may affect the way business is conducted in the future (e.g., eCommerce, entrepreneurship, payment methods, business responsibilities)."
