Course,Level,ID,Project Name,Project Type,Project Theme,Learning Objectives,Vocabulary,CSTA Standards
CS Connections with VR,3,3.1,Into the TV,Guided Project,"In this project, students travel through a TV and into a new scene to help someone in need.","Students will:
- Create number and boolean variables
- Use conditionals to check the value of a variable
- Use conditionals to create unique character responses
- Link scenes together using code","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,3,3.2,Time Traveler,Guided Project,"In this project, students will travel to different time periods using a time machine. As they time travel, they'll collect artifacts that will help the professor to complete important research.","Students will:
- Create new scenes and use code to travel between them
- Use CoSpace properties to pass information between scenes
- Use if else conditionals to create branching code","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,3,3.3,Clubhouse,Team Project,"In this project, student teams will build a secret clubhouse. The clubhouse will have new scenes for each room of the club. Players will need to collect objects and pay a fee in order to enter all rooms of the clubhouse.","Student team will:
- Create new scenes and transition between them using code
- Create CoSpace properties to store information across scenes
- Use conditionals to check the value of CoSpace properties","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-CS-01, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-17, 2-AP-18, 2-AP-19"
CS Connections with VR,3,3.4,Spot the Bot,Independent Project,"In this project, students are searching for a robot! The robot has been designed to look and act like a normal character or animal. Students will explore the scene and use the clues that are provided to find the robot.","Students will:
- Create variables to store information
- Use conditionals to create branching code
- Use animations and speech to provide the player with clues","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,3,3.5,Sunken Treasure,Independent Project,"In this project, students are searching for sunken treasure deep underwater. Students will gather equipment and dive into the ocean to collect objects that will open a lost treasure chest.","Students will:
- Create number and boolean variables to store information
- Use conditionals to require the player to complete a task
- Changes scenes when a condition has been met.","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,3,3.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice. ","Students will:
- Create number and boolean variables to store information
- Use conditionals to require the player to complete a task
- Changes scenes when a condition has been met.","Boolean Value, Boolean Expression, Conditional, Comparison Operator","2-AP-11, 2-AP-12, 2-AP-13, 2-AP-17, 2-AP-19"
CS Connections with VR,4,4.1,Dream Machine,Guided Project,"In this project, students have discovered a mysterious machine that contains anything they can dream up!","Students will:
- Use variables to store selections made by the user
- Use a repeat loop to create copies of objects
- Use physics to push objects
- Create else if and nested conditionals","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,4,4.2,Time Loop,Guided Project,"In this project, students are visiting Infinity Park! Something strange is causing visitors of the park to repeat things over and over again. Students investigate the park and help the visitors break out of their loops!","Students will:
- Use forever loops to repeat code forever
- Use break out of loop CoBlocks to stop loops from repeating
- Use Operator CoBlocks to perform math operations with variables
- Run blocks of code independently from other blocks of code using run separately CoBlocks","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,4,4.3,Portal Puzzle,Team Project,"In this project, students create a puzzle for players to solve! Players will use portals to teleport between different areas of students’ scenes while trying to collect hidden objects.","Student teams will:
- Use loops to move obstacles for the player
- Create if, else if, else conditionals to check multiple conditions
- Use run separately CoBlocks to run loops at the same time
- Move the player to new positions using CoBlocks","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19"
CS Connections with VR,4,4.4,Feeding Frenzy,Independent Project,"In this project, students are delivering food to frenzied animals! One scene will contain the food for the animals and the other scenes will have the animals. Players will collect the food from one scene and take it to the other scene so that they can feed the animals and stop the frenzy.","Students will:
- Use forever loops to make animals repeat actions
- Create if, else if, else conditionals to check multiple conditions
- Use run separately CoBlocks to run loops at the same time
- Use CoSpace properties to store information across scenes","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,4,4.5,Target Practice,Independent Project,"In this project, students are practicing their aim by knocking down targets! They’ll try to hit all of the targets to get the high score!","Students will:
- Use forever loops to make targets move back and forth
- Create if, else if, else conditionals to check multiple conditions
- Use run separately CoBlocks to run loops at the same time
- Use physics to throw objects","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,4,4.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice.","Students will:
- Use forever loops
- Create nested if, else if, else conditionals to check multiple conditions
- Use physics","Break, Comment, Forever Loop, If, Else If, Else Conditional, Iteration, Loop, Nest, Null, Physics, Run Seperately","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,Capstone,2,Interview an Innovator,Case Study,"In this project, students will use VR to model two interview scenes with an innovator that they’ve selected.","Students will:
- Create new scenes and transition between them using code
- Use variables and CoSpace properties to store information
- Use conditionals to check the value of variables",,"2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19"
CS Connections with VR,5,5.1,Virtual Pet,Guided Project,"In this project, students are taking care of their very own virtual pet! They’ll teach their pet commands that allow them to eat, drink, play, and do tricks.","Students will:
- Create functions that make their pet eat, drink, play, and do a trick
- Create a function that updates their pet's stats
- Call their created functions in their code","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,5,5.2,Pinball Champion,Guided Project,"In this project, students are building a pinball machine! They’ll design the machine and then challenge their friends to see who can get the top score.","Students will:
- Use parameters to activate the flippers and bumpers
- Use parameters to update the score
- Pass arguments into functions when they are called","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,5,5.3,Search and Rescue,Team Project,"In this project, students are following clues to rescue someone in need! Use your compass to guide you around the world and search for the missing character (or animal!)","Students will:
- Create a function to guide the user around the world
- Use parameters to update the direction of the next clue
- Store user progress in variables","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-15, 2-AP-16, 2-AP-17, 2-AP-18, 2-AP-19"
CS Connections with VR,5,5.4,Photo Shoot,Independent Project,"In this project, students are a photographer at a photo shoot! Choose the perfect prop, pose, floor, and backdrop and then snap a photo to capture the moment.","Students will:
- Create functions to change the look of the scene
- Use parameters to pass in different objects for the photo shoot
- Switch between camera objects using a function","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,5,5.5,Final Lap,Independent Project,"In this project, students are watching a race and guessing who is going to win! You'll build the racetrack, choose the racers, and keep track of how many laps each racer has completed.","Students will:
- Create a function to start the race
- Create a function to count the laps for each racer
- Create a function to check who won the race
- Use parameters to pass different racers into functions","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19"
CS Connections with VR,5,5.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice.","Students will:
- Create functions with and without parameters
- Call their created functions in their code
- Create compound conditionals","And Operator, Argument, Call, Comment, Compound Conditional, Function, Parameter","2-CS-01, 2-AP-10, 2-AP-11, 2-AP-12, 2-AP-13, 2-AP-14, 2-AP-16, 2-AP-17, 2-AP-19"
CS Dimensions with VR,0,0.1,Prototyping Our Future,Unplugged,,"Students will:
- Understand the importance of learning computing.
- Articulate the scope and goals of the CS Dimensions with VR course.
- Evaluate the impacts of computing on various aspects of society.
- Apply creative thinking to solve problems using technology.",Prototype,"3A-CS-01, 3A-IC-24"
CS Dimensions with VR,0,0.2,Inside Your Computer,Unplugged,,"Students will:
- Differentiate between inputs and outputs.
- Define levels of abstraction in computing, describing interactions between application software, system software, and hardware, and compare their roles and functions.
- Identify major operating systems, discuss their key features, and compare their strengths and weaknesses in various computing environments.
- Identify and describe the functions of primary memory (RAM), the CPU, and peripheral devices within a computer system.","Computer, CPU, GPU, Hardware, Input, Motherboard, Output, RAM, Software, Storage","3A-CS-01, 3A-CS-02"
CS Dimensions with VR,0,0.3,Coded Messages,Unplugged,,"Students will:
- Explain how computers use binary numbers (0s and 1s) to represent all types of data.
- Students will identify and describe how characters are encoded using ASCII and Unicode.
- Students will convert a string of text to its binary representation using ASCII and decode binary back to text.","Binary, Bit, Byte",3A-DA-09
CS Dimensions with VR,0,0.4,Code Quest,Unplugged,,"Students will:
- Define the term ""code"" and describe its role in computer science.
- Create algorithms to solve simple problems and describe the steps involved.
- Write programs that follow a logical sequence of steps to achieve a desired outcome.
- Problem-solve and explain how they used algorithms and debugging to overcome challenges.","Algorithm, Code, Debugging, Sequence",3A-AP-17
CS Dimensions with VR,0,0.5,Computer Networks,Unplugged,,"Students will:
- Understand and describe what a network is and how it enables computers to share resources and communicate.
- Explain how malware can harm computers and networks and how to protect against it.
- Identify common cybersecurity threats and explain basic strategies for preventing them.","Cybersecurity, Malwawre, Network, Phishing Attacks, Router, Switch, Server, Topology","3A-NI-04, 3A-NI-05, 3A-NI-06, 3A-NI-07, 3A-NI-08"
CS Dimensions with VR,0,0.6,Data Story,Workbook Activity,,"Students will:
- Develop, implement, and refine processes that utilize computational tools to collect and transform data, enhancing its usefulness and reliability.
- Illustrate and explain relationships between collected data elements using computational models.
- Evaluate the trade-offs in how data is organized and stored digitally, considering various factors such as accessibility, security, and efficiency.
- Create interactive data visualizations using software tools to transform data, analyze trends, make inferences, and publish data that considers accessibility.",Data,"3A-DA-10, 3A-DA-11, 3A-DA-12"
CS Dimensions with VR,0,0.7,VR Tutorial,Tutorial,,"Students will:
- Identify environments and objects in virtual scenes.
- Successfully navigate through the VR Tutorial: Dinosaur Hero.
- Add objects to a scene in VR Tutorial: Bus Stop. ","CoBlock, CoSpace, Environment, Library, Object, Scene",3A-AP-21
CS Dimensions with VR,0,0.8,Leaders in Technology,Guided Project,,"Students will:
- Utilize a growth mindset in order to troubleshoot.
- Create a CoSpace scene that depicts a technology entrepreneur of their choosing.
- Assign speech and animation to objects.","Animation, Object Inspector, Snapping","3A-CS-03, 3A-IC-27, 3A-IC-28, 3A-IC-29, 3A-IC-30"
CS Dimensions with VR,1,1.1,Animal Trainer,Guided Project,"In this project, students create a scene of an animal trainer on a movie set. The animal trainer has been tasked with training three animals to perform tricks for different scenes in the movie.","Students will:
- Create variables to store strings
- Use CoBlocks to move objects in a direction
- Use CoBlocks to move objects on a path
- Use CoBlocks to rotate an object","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,1,1.2,City Builder,Guided Project,"In this project, students design and build their own city. After building the city, students will add cars, bikes, or other objects that move around the city.","Students will:
- Use different variable data types
- Create number variables that change the speed of objects
- Create color variables to change the color of objects with code
- Use run parallel CoBlocks to move multiple objects at the same time
- Use math operators to change the value of variables","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23, 3A-IC-25"
CS Dimensions with VR,1,1.3,Island Survivors,Team Project,"In this project, student teams are lost on a deserted island! The team must explore the island, talk to other survivors, and search for any objects that may help to survive.","Student teams will:
- Create variables to store and call information
- Use data types to store different types of information
- Sequence code to create characters that animate and speak
- Use run parallel CoBlocks to move multiple objects at the same time","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23"
CS Dimensions with VR,1,1.4,Scavenger Hunt,Independent Project,"In this project, students build a scene and hide at least five objects somewhere in the scene. The player's goal will be to find and click on all of the hidden objects.","Students will:
- Animate objects using code
- Add speech to objects using code
- Move multiple objects at the same time using run parallel CoBlocks
- Use variables to store numbers and colors","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,1,1.5,Magic Show,Independent Project,"In this project, students are magicians performing at a magic show. Students will decide what magic tricks to perform and present them to a live audience.","Students will:
- Animate objects using code
- Add speech to objects using code
- Move multiple objects at the same time using run parallel CoBlocks
- Use variables to store numbers and colors","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,1,1.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice.","Students will:
- Animate objects using code
- Add speech to objects using code
- Move multiple objects at the same time using run parallel CoBlocks
- Use variables to store numbers and colors","Attach, Animation, Call, camelCase, CoBlock, Comment, CoSpace, Concatenate, Data Type, Environment, Group, Library, Material, Math Operator, Object, Object Inspector, Path, Run Parallel, Scene, Sequence, String, Variable","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,2,2.1,Time Traveler,Guided Project,"In this project, students create scenes of traveling to different time periods using a time machine. As the user time travels, they will collect artifacts that will help the professor to complete important research.","Students will:
- Create new scenes and use code to travel between them
- Use CoSpace properties to pass information between scenes
- Use conditionals to create branching code","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,2,2.2,Physics Game,Guided Project,"In this project, students create a game with physics-enabled objects that move and fall realistically. The user can earn points and try to achieve the high score by dropping discs onto the game board.","Students will:
- Create new functions with parameters
- Pass arguments into functions
- Use physics to make objects react realistically
- Create a score system to track points","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,2,2.3,Obstacle Course,Team Project,"In this project, student teams design and build an obstacle course.","Student teams will:
- Create CoSpace properties to store and call information across scenes
- Use conditionals to trigger game events
- Use collision to detect the player's movements","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23"
CS Dimensions with VR,2,2.4,Crack the Case,Independent Project,"In this project, students build a scene in which a detective has just been hired to take on a new case. The user will talk to witnesses around the scene and search for clues to help solve the crime.","Students will:
- Create clues to be found by the player
- Use boolean variables to store the state of clues
- Create conditional statements to check if clues have been found","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,2,2.5,Complex Contraption,Independent Project,"In this project, students build a scene with a Rube Goldberg machine.","Students will:
- Create a function to start the contraption
- Use physics to move an object through the contraption
- Create collision events with objects in the contraption","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,2,2.6,Passion Project,Independent Project,"In this project, students create and design a CoSpace of their choice.","Students will:
- Create a function with parameter and CoBlocks inside
- Use code to connect scenes
- Use if else conditionals
- Create collision events ","Argument, Boolean, Comparison Operator, Conditional Statement, CoSpace Property, Function, Function Call, Nest, Parameter, Physics, Set Static","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,Capstone,1,Solar System Landing,Team Challenge,"In this team challenge, student teams will be a part of the first human-led mission to land on another moon or planet in almost 50 years. Teams will choose a destination and create a multi-scene project that models four phases of the mission. When finished, teams will present their project to classmates in the form of a press conference.","Students will:
- Use click events to add interactivity
- Create variables to store information
- Create functions to execute blocks of code
- Add conditional statements to create branching code",,"3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23, 3A-IC-26"
CS Dimensions with VR,3,3.1,Music Playlist,Guided Project,"In this project, students create a playlist of songs and then play the songs at an event.","Students will:
- Add songs to a playlist
- Remove songs from a playlist
- Check if the playlist contains a specific song
- Use the length of a list inside of a conditional
- Use for each loops to iterate through the playlist","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,3,3.2,Dunk Tank Challenge,Guided Project,"In this project, students create a game that allows players to hit targets and dunk a character into water.","Students will:
- Use a forever loop to move targets
- Use a while loop to create a timer
- Create new CoBlock scripts
- Create global functions that can be called from any script","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,3,3.3,Tower Conquest,Team Project,"In this project, student teams create a tower for other players to escape from. The tower will contain three floors and each floor will require players to solve a riddle or puzzle in order to unlock the door to the next floor. The puzzle or riddle must be solved within a set time limit.","Student teams will:
- Create a global function that is called in different scripts
- Create a puzzle that requires a list
- Create a puzzle that require multiple conditions to be met
- Create a puzzle that uses a repeat while loop
- Use timers to reset player progress","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23"
CS Dimensions with VR,3,3.4,Choose Your Destiny,Independent Project,"In this project, students build a ""choose your own adventure"" story for players to follow. Along the way, players will make choices that affect how the story is told.","Students will:
- Create a branching story with player choices
- Use conditionals to check multiple conditions
- Check if a list includes a specific item
- Use a forever loop to move an object on a path","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,3,3.5,Time Loop,Independent Project,"In this project, students create a scene that includes characters or animals that are stuck repeating the same actions in a loop. The characters or animals will continue repeating their actions until the player interacts with them and stops them from their looping behavior.","Students will:
- Use loops to trap characters in repeated actions
- Use conditionals and variables to free characters from their loops
- Create scripts for each time loop
- Call global functions in other scripts","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,3,3.6,Passion Project,Independent Project,"In this project, students will create and design a CoSpace of their choice.","Students will:
- Use loops, lists, and conditionals
- Create and call global functions","For Each Loop, Forever Loop, Global, Index, Iteration, List, Local, Loop, Scope, Script, While Loop","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,4,4.1,Infinite Runner,Guided Project,"In this project, students create an infinite runner game. The goal of the game is to survive as long as they can while avoiding procedurally generated obstacles. Students will also be trying to collect objects that increase their health and score.","Students will:
- Procedurally generate obstacles and collectables
- Create compound conditionals to check multiple conditions
- Use lists to create objects at a random position
- Use conditionals to compare the names of two objects","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,4,4.2,Farm Life,Guided Project,"In this project, students grow crops on their very own farm. Plant seeds, add water, and watch your crops grow day by day!","Students will:
- Use loops to update the names of all objects in a list
- Create compound conditionals to check multiple conditions
- Use conditionals to get the distance between two objects
- Create multiple scripts and functions that are linked together","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,4,4.3,Lights! Camera! Action!,Team Project,"In this project, student teams are creating and directing their own short film.","Student teams will:
- Create new scenes
- Use functions to direct the news stories
- Add multiple cameras and switch between them using CoBlocks","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23"
CS Dimensions with VR,4,4.4,World Generator,Independent Project,"In this project, students will create new worlds at the click of a button! One click can create an entire forest and another click can fill the forest with animals. Students will decide what is generated in the world.","Students will:
- Create a function that generates random objects
- Create an ""undo"" button that deletes generated objects
- Use compound conditionals to affect the procedural generation
- Use lists inside of loops and functions
- Randomly select objects in a list","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,4,4.5,Critter Catalog,Independent Project,"In this project, students will collect and catalog different animals in the wild! Students will sort the animals by their size, color, and other properties and display information about each group of animals.","Students will:
- Create lists of animals based on their individual properties
- Sort the lists to group similar animals together
- Use compound conditionals to identify properties of animals
- Use lists inside of loops and functions","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,4,4.6,Passion Project,Independent Project,"In this project, students will create and design a CoSpace of their choice.","Students will:
- Use collisions
- Use lists
- Use functions","And Operator, Or Operator, Compound Conditional","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,5,5.1,Museum Heist,Guided Project,"In this project, students have been hired to sneak into a museum and retrieve a set of artifacts. However, students are not alone in the museum and they need to be careful not to alert the guards! They’ll need to retrieve all of the artifacts to complete the mission.","Students will:
- Return a boolean value from a function
- Break out of a loop when a condition is met
- Use a function to detect the distance between two objects","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,5,5.2,Order Up!,Guided Project,"In this project, students have opened their own restaurant! They’ll take orders, assemble ingredients, and send food out to customers as fast as they can to earn as many points as possible!","Students will:
- Create a menu list that contains different lists of ingredients
- Use loops to compare the contents of two lists
- Call functions with multiple arguments
- Assemble orders one ingredient at a time","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-23"
CS Dimensions with VR,5,5.3,Shopping Spree,Team Project,"In this project, student teams are creating a store for players to navigate through and collect items! Players will be given a list of objects to find in the store while racing against the clock for the fastest time.","Student teams will:
- Create a list of items in the store
- Choose random items from the list of store items
- Use loops to compare two lists to check if all items have been collected
- Prevent the Player from collecting items that are not on the list","Break, Return","3A-CS-01, 3A-CS-03, 3A-AP-13, 3A-AP-14, 3A-AP-15, 3A-AP-16, 3A-AP-17, 3A-AP-18, 3A-AP-19, 3A-AP-20, 3A-AP-21, 3A-AP-22, 3A-AP-23"
